,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
254,Acetic-acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nervous headache, from narcotics",,,,,temporal vessel distended,,,,,,,,,,,pain across root of tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Aconitum-nsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensation on vertexas if hair were pulled or stood onend,,,,,,,,burning headache,,,,,,,,,"worse on rising[nux,opium],shaking head",,,,,,,burning headache as if brain were moved by boiling water[indigo],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Actea-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tearing headache ebbulation of blood to head by coffee,,,"heatin forehead,pain in left frontal eminence",,,,pain from crown to between eye brows,,"vertigo,tearing headache,better open air",,,,,,,"nose red at tip ,fluent coryza. Throbbing in brain",,,,,,,,itch scalp alternat with heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Adonis-ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feels light,fromocciput around temple to  eyes,,aches across front,,from occiput  around temple to eye',,,,,,,,,,,,,,"eyes dilated,aches from temple to eye",,,,,scalp feels tight,"Vertigo on rising,turnig head quickly or lying down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,AesculusHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AcheAsFromCold,occiput To FrontalBruisedScalp,,pressureNauseaFollowStitchRtHypocondria,,,,,,,,,,,,,neurolgicStitchRtToLeftThroughForehead,,,,,depressedIrritableDullConfused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,AesculusHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SittingAndWalking,,,,,,,follow FlyingPainInEpigastrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,AethusaCyna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occiputPainExtendSpine,,,,,,,BetterLyingPressure,headHOTafterVertigoCeases,,,,,,,HeadSympRelivedByFlatusBYStoolSangu,,,,,,,,HairFeelsPulled,VertigoDrowsinessWithPalipitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Agaricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headConstantMotion,,,,,,,,dullAcheFromProlongDeskWork,FallBackAsIfWeightOcc,,,,LatHeadacheAsFromNailCoffIgnatia,,,desireCoverHeadWarmSilicia,SunLightWalk,,HeadacheWithNoseBleedOrThickMucus,,,,,icycoldIcyNeedleNeurlgiaIcyColdHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,AilunthusGlandulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passiveCongestion,,,frontaAcheWithDrowsiness,,,,,,,,,,ThinIchorusBloodyDischarge,FaceDusky,,,,,SuffusedDilatePhotophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,AlfaAlfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painINleftSideHead,OccDullHeavyInAboveEYE,,,,,,,WorseTowardEvening,,,,,,,,violentHeadache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,AlliumCepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catarrhalAcheMostlyForehead,,,,,WorseWarmRoomEvening,,,,,,threadLikePAINinFace,,CEASEmensesFlowAppearsStopFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,AlliumSativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavyPulsationINtemples,,,,,,,,,,CatarrhalDeafness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Aloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dullPressivePainWorseHeat,,,AcheAboveFHheavyEyePartlyClose,,,,,,,,,,,,,lumbagoUterineIntestinalAlternate headache,,,,,disinclieMentalLabour,headacheAfterStool,alternateuterineAffect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Alumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burnPainTopHeadBetterPressureHand,,WithWeakPitStomach,,,,,,,Alopecia,,,,,,,,Alopecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Alumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throbbingWithConstipate,,,PressureFHasFromTightHat,,,,,,StitchBurnWorseMorningBetterBreakfast,,,,,,,,,,inabilitWalkExceptEyesOpen,,,,,HairfallScalpNUMBitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,AluminaSilicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painheadBetterHeatPerspire,,,,,,,,,,,congestionBrain,,freqCoryzaSwellAndUlcerateNose,,,,,,painEyeFlickering,,congestBrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,AmbraGrisea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senileDizzy,,,,,,,,,,,pressureFHwithMentalDepression,,,,,,withWeakINheadStomach,,tearingPainUpperhalfBRAIN,,EpistaxisEspINmorning,,hearingImpaired,rushBloodHeadWhenListenMusic,ProfuseBleedFromTEETH,,,,,,,HairfallScalp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,AmmniacumDerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catarrhalHAdueCloseFrontalSinus,,,dueCloseFrotalSinusHeadache,,,,,,,,headacheDueCloseFrontalSinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,AmmoniumBnzoicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavyStupid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,AmmoniumBromatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thickNasalDischargeSneezing,,feelingBandAboveEar,,,,,,cerebralCongest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,AmmoniumCarb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shockThroughHead,,,pulsateFHpressureWarmRoomBetter,,,,,pressureWarmRoomBetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,AmmoniumIodatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dullacheEspYoungPeople,,,,,,,,,vertigoMenieresDisease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,AmmoniumMur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feeFullCompressedWorseMorning,,,hairfallDandruffItching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,AmmoniumPhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sneezExcessRunNOSEeyesOnlyMorning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,AmmoniumPicratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,periodicBilliousHeadacheSangunaria,periodicNeurolgiaRtSideOcciput,,,,,,,,onRising,,boringPinToEarOrbitJaw,,,,boringPainEarOrbitJaw,,,,boringPainEarOrbitJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,AmylNtrosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flushFollowSweatClimacteric,,,,,,,,throbbing,,,,,,,,,,,,,,surgeBloodHeadFaceAsifBloodStartFromSkin,HypraemicThrbbing,,,,,,AnxietAsifSomethingMightHappenWantFreshAir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Anacardium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressingPainFHoccTempVertex,pressPainDuringMeal,,pressPainBetterDuringMeal,,preePainBetterDuringMeal,,pressPainDuringMeal,betterDuringMeal,vertigo,,,,,,,,,,,,,,,itchLittleBoils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Anatherum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressPainAsplugWorseMentalExertion,,,,,,,,painPierceBrainPointedArrows,,PainPierceBrainPointedArrowWorseAfterNoon,,,,,,worseAfterNoon,,,scalpEyeNoseTongueSalivaCopious,,boilsTumorTipNosse,,,,,,wartLikeGrowthOnEyebrows,,pressPainAsFromPlugWorseAfterMentalExert,,,HerpesUlcerTumor,,FissureAsifEdgesCutCopiousSalivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Anhalonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AcheDisturbedVision,,,,,,,,,,,,,,,ExaggerateReverbarateOrdenarySounds,briliantMovingColorObjectPupilsDilate,,,pupilsDliateVertigoBrainTired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,AngusturaVera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headacheHeatFace,,,,,PainTempMuscleOpenJaws,,,,,,faceTempJawChewMUSCLE,,,faceJawMassetor,,crampPainZygoArcMassetorFatiguePainArticulateJaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,AntimoniumCrudum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ache,,,heavyVertigoNauseaNosebleed,,,,AcheAscendBathCandyAcidWine,,,,,,,,,,,,,,,,,headacheWithHairLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,AntmoniumTart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asFromBandCompresAcNit,,,bandLikeFeelFH,,,,,,AlternateDrowsyDespondency,,,,,paleSunken,,childWillNotBeTouchedWithoutWHINING,,,,,mutterDeliriumStuporFearAlone,,,,dullnessConfusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Antipyrrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throbingSensationConstrictFlushHeat,,,,,,,,throbbingFlushHeat,,,,,,,,,,,,,,,headacheUnderEarWithEarache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,ApisMel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suddenStabbingPain,,,,,,,,boresHeadIntoPillowScream,dullHeavyAsBlowExNeckWithSexual,wholeBrainFeelTired,,,,,,refOccBetterPRESSURE,WithSneezWorseLyingEyeClose,,,,,,,HeatThrobDistensePainBetterPressureWorse Motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,ApumGraveolens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headacheBetterEating,,,,,,,,,,,,,,,,,,,eyeFeelSunkenItchInnerCanthusLEFTeye,,DeppessEnergeticFidgetCannotSLEEPthiking,,,,,,,cannotSleepFromTHINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Apomrphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HotFeelAllOverBODYespHead,,,,,,,,emptyRetchingAndHeadache,,,,,,,,,vertigo,nauseaViolenInclineVomit,ReflexVomitPregSeaSick,,,,,emptyRetchHeartBurnPainShoulderBlade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,AragallusLamberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrackLowerLIP,,,,,DiplopiaBurningEyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,AraneaDiadema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bertterSmokingInOpenAir,,,,,,painRtTrifacialInwardPerifery,,,violentPainNightAfterLyingDown,,heatFlikeringWorseDampWeather,,confusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,ArgemoneMexicana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HeadHot,,,,,,,,,,,,,throbbingEyesTemple,,,,,,,,,,,,,,,,,,,,,,,,VeryDryPainSwallowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,ArgentumMtallicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headFeelEmptyHollow,,,,,,,,,intoxicateFeelLookRunWater,,,,ExhaustCoryzSneez,PainFacialBone,,EyeLidsRedAndThickNeurogiaLeftIncreaseCeazeSudden,,,PainBetweenLefteyeFrontaEminence,,,,,ScalpVeryTenderTouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,ArgentumNitricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WithColdnessTremble,,acheFromMentalExertDanceFag,AcheFeelEnlargeCorrespondEye,,,,,,withBuzzEarNerveAffect,,eyeEarScalpEmotion,,,,vertigoBuzzNervousAffect,BorePainBetterBandagePressureHeadBoneSeparate,,,acheWithEnlargeFeelCorrespodEye,,headacheMentalExert,,,itch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Arnica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sharpPinchHotColdbody,,confusedSensitiveBrain,coldSpotForehead,,,,,,chrVertigoObject WhirlEspWalk,,,,,,,,,,,,,,,scalpFeelContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ArsenicumAlbum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burnItchDandruff,,,,,headConstantMotion,,,,,,,,periodicalBurnRestlessHemiCrania,,,,,,,,relivedByColdOtherSympWorse,,,scalpSkinHairHeadSensitiveOpenAir,,,,,patchCircularbareSpotSensitiveDryScale,,,,,deleriumTremensCurseRavingVicious,,,itchSensitiveCannotBrushHair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,ArsenicumHydrogeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrapWarmCloth,VilolentGoingUpstair,,,,violentSneezNose Cold,,,mustWrapWarmCloth,,,broadBlueCircleArroundEyeSunken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,ArsenicumIod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withTremulusFeelEspAged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ArgentumMetalicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headFeelsTooLARGE,,,,,,,,LtSideUptoEyesEars,,LowSpiritWeakMemory,oeddematousSwellForehead,,,,,,,,EyesEars,worseSoopLying,,,LtHeadacheUptoEyesEars,,,,headacheLtUptoEyesEars,,DesireAloneAnoyedVisionCauseCRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,ArtemisiaVulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CongestionBrain,,,,,,,,,MOUTHdrawntoLEFT,drawnBackBySpasmodicTwitch,,,,mouthDrawnLtRrawnBackBySpasmodicTwitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ArumDracontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heayShootPainEarBehindRtEar,,,,,,,,,,,,,,,,,,,EarBehindEar,,,,heavyShootPainEarsAcheBehinRtEar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,ArumTriphyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boresHeadIntoPillow,,,,,,,,,,,,,,,,headacheFromWarmClothOrHotCOFFEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Arunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deepSeatedPainSidesHead,PainExtendCiliaryRegion,,,,,,,,,,CiliaryRegionSidesHead,,,,,hairfallRootPainPustulesHeadacheSides,,,OCCpainExtendCiliaryRegion,,,,,itchFallHairRootPainPustules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Asafoetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressivePainWithinOutwards,,,,,,,,pressurePainWithinOutWard,,irritableComplainsHerTroubleSensitive,,,,,,,,,boringEyebrows,,,,,,,,boringAboveEyeBrows,,irritableComplainHerTroubleSensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,AsarumEuropum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CompressivePainTensionScalp,,,,,,,,compressivePain,,,,,,,,,,,scalpHairNose,,coryzaSneezing,,,,,,,,,,,tensionHairPainfullCHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,AsclepiasSyriaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, nervousheadacheRefAssociteSYMP,,,constrictAcrossForehead,,SharpObjectThroughTempleToTemple,,,,,,templeFHnerovousPerspiUrineSpGravity,,,,,suppresSweatFollowIncreUrineIncreSpGravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,AsclepiasSyriaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,headacheFromRetentionEFFETEmatterInSystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,AsparagusOfficinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MigaineMorningWithScotoma,,confused,FHacheAndRootNose,,,,,migrineMrningWithScotoma,,,FHnoseEyeThroat,,AcheFHandRootNose,,,MigrainousMorningHeadacheWithScotoma,,,migraineMorningWithScotoma,,confused,,,,,,,,feelRoughHawkCpioustenaciousMucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,AsteriasRubens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heatheadAsifSourundedByHotAir,,,,,,,,throbbing,,shockThrobbHeatHeadasAroundHotair,,,,,,,,,,,,,,shockBrainThrobbHeatInHeadasifSouroundHotair,,,,,cannotBearContridiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,AstragalusMollissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressivepainTemples,,,,,,,,pressivePainTemple,,,,,fullnessRtTempUpperJaw,,,,dizzy,,tempJawLteyebrowFaceboneMaxillae,,,painFaceboneAndMaxillaePressure,,,,,painoverLefteyebrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,AurumMetallicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worseNight,,,,,roreHeadPressureOutwardTearBrainFH,,,,,,,,violentpainWorseNightRoar,,congestiontoHead,tearThroughbrainToFH,,,,,WorseNight,vertigo,,foreheadBrainSalpNight,,,,,violentPainheadWorseNightPressureOutward,,,,,,,,BOILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,AvenaSativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inabilityKeepMINDonAnyOneSubject,,,,,,,,,mindConcentration,,,,,,,,,,inabilityKeepMindOnAnyOneSubject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
